Date : 2023-10-07 09:45:32
Directory : d:\Coding Projects\DOOID Files\dooid
Total : 86 files,  7256 codes, 307 comments, 616 blanks, all 8179 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| windows                                                                                            |         11 |        466 |         94 |        149 |        709 |
| windows\flutter                                                                                    |          3 |         38 |          9 |         17 |         64 |
| windows\runner                                                                                     |          8 |        428 |         85 |        132 |        645 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Coding Projects\DOOID Files\dooid\README.md                                                     | Markdown   |         15 |          0 |          9 |         24 |
| d:\Coding Projects\DOOID Files\dooid\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| d:\Coding Projects\DOOID Files\dooid\android\app\build.gradle                                      | Groovy     |         51 |         11 |         14 |         76 |
| d:\Coding Projects\DOOID Files\dooid\android\app\google-services.json                              | JSON       |         29 |          0 |          0 |         29 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\AndroidManifest.xml                      | XML        |         29 |          6 |          1 |         36 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\java\com\example\dooid\MainActivity.java | Java       |          4 |          0 |          3 |          7 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| d:\Coding Projects\DOOID Files\dooid\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| d:\Coding Projects\DOOID Files\dooid\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| d:\Coding Projects\DOOID Files\dooid\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| d:\Coding Projects\DOOID Files\dooid\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| d:\Coding Projects\DOOID Files\dooid\android\settings.gradle                                       | Groovy     |         16 |          0 |          5 |         21 |
| d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\Back.svg                         | XML        |          3 |          1 |          1 |          5 |
| d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\down.svg                         | XML        |          3 |          0 |          1 |          4 |
| d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\slider_button.svg                | XML        |          4 |          0 |          1 |          5 |
| d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\ticketSuccess.svg                | XML        |         18 |          0 |          1 |         19 |
| d:\Coding Projects\DOOID Files\dooid\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| d:\Coding Projects\DOOID Files\dooid\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| d:\Coding Projects\DOOID Files\dooid\lib\data\accounts.dart                                        | Dart       |        272 |          0 |         22 |        294 |
| d:\Coding Projects\DOOID Files\dooid\lib\data\contactProvider.dart                                 | Dart       |         56 |          0 |         14 |         70 |
| d:\Coding Projects\DOOID Files\dooid\lib\main.dart                                                 | Dart       |         23 |          1 |          3 |         27 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\changePin.dart                     | Dart       |        118 |          0 |          6 |        124 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\data.dart                          | Dart       |        367 |          0 |         19 |        386 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\login.dart                         | Dart       |        209 |          0 |          6 |        215 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\pin.dart                           | Dart       |        204 |          0 |         13 |        217 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\register.dart                      | Dart       |        258 |          0 |          7 |        265 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\onboarding.dart                                   | Dart       |        143 |          0 |          6 |        149 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\home.dart                                 | Dart       |        873 |          0 |         47 |        920 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\offers.dart                               | Dart       |         67 |          0 |          2 |         69 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\profile.dart                              | Dart       |        433 |          0 |         22 |        455 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\qr\qrCode.dart                            | Dart       |         52 |          0 |          5 |         57 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\qr\qrScan.dart                            | Dart       |        136 |          1 |         13 |        150 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\transactionsHistory.dart                  | Dart       |        302 |          2 |         18 |        322 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\credit\credit.dart                   | Dart       |        425 |          0 |         14 |        439 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\credit\creditSuccess.dart            | Dart       |        138 |          0 |          3 |        141 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\topup\topUp.dart                     | Dart       |        330 |          1 |         17 |        348 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\topup\topUpSuccess.dart              | Dart       |        167 |          0 |          5 |        172 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\transfer\transfer.dart               | Dart       |        264 |          0 |         11 |        275 |
| d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\transfer\transferSuccess.dart        | Dart       |        154 |          0 |          5 |        159 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\logOut.dart                                   | Dart       |         55 |          0 |          4 |         59 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\offerWidget.dart                              | Dart       |        236 |          2 |         16 |        254 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\termsAndConditions.dart                       | Dart       |         97 |          0 |          2 |         99 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\contactDropdown.dart            | Dart       |        136 |          0 |         11 |        147 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\wBackButton.dart                | Dart       |         21 |          5 |          4 |         30 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\topUpTransfer\wBackButtonBlack.dart           | Dart       |         25 |          4 |          4 |         33 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\colors.dart                             | Dart       |          8 |          0 |          1 |          9 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\format.dart                             | Dart       |         21 |          0 |          5 |         26 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\initials.dart                           | Dart       |         13 |          0 |          3 |         16 |
| d:\Coding Projects\DOOID Files\dooid\lib\widgets\shortcuts\transition.dart                         | Dart       |         15 |          0 |          3 |         18 |
| d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugin_registrant.cc                  | C++        |         11 |          4 |          5 |         20 |
| d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| d:\Coding Projects\DOOID Files\dooid\linux\flutter\generated_plugins.cmake                         | CMake      |         20 |          0 |          6 |         26 |
| d:\Coding Projects\DOOID Files\dooid\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| d:\Coding Projects\DOOID Files\dooid\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| d:\Coding Projects\DOOID Files\dooid\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| d:\Coding Projects\DOOID Files\dooid\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         14 |          3 |          4 |         21 |
| d:\Coding Projects\DOOID Files\dooid\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| d:\Coding Projects\DOOID Files\dooid\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| d:\Coding Projects\DOOID Files\dooid\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| d:\Coding Projects\DOOID Files\dooid\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| d:\Coding Projects\DOOID Files\dooid\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| d:\Coding Projects\DOOID Files\dooid\pubspec.yaml                                                  | YAML       |         39 |         55 |         14 |        108 |
| d:\Coding Projects\DOOID Files\dooid\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| d:\Coding Projects\DOOID Files\dooid\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| d:\Coding Projects\DOOID Files\dooid\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| d:\Coding Projects\DOOID Files\dooid\windows\flutter\generated_plugins.cmake                       | CMake      |         21 |          0 |          6 |         27 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| d:\Coding Projects\DOOID Files\dooid\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                              |            |      7,256 |        307 |        616 |      8,179 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
